,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
12,12,0,192.168.1.135,08:00:27:bd:f2:09,08:00:27,1900,239.255.255.250,01:00:5e:7f:ff:fa,01:00:5e,1900,17,4,0,0,9460,17922,8462,18,9399,9460,17922,8462,18,9399,0,0,0,0,0,477,522.1666666666667,30.86069268407916,557,477,522.1666666666667,30.86069268407916,557,0,0.0,0.0,0,130,497.7647058823529,418.5371144551826,1332,130,497.7647058823529,418.5371144551826,1332,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSDP,System,0,6,239.255.255.250,,,,
13,13,0,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,08:00:27:bd:f2:09,08:00:27,0,ff02::1:ff00:1,33:33:ff:00:00:01,33:33:ff,0,58,6,0,0,10262,10262,0,1,86,10262,10262,0,1,86,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
14,14,0,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,08:00:27:bd:f2:09,08:00:27,49942,fd2d:ab8c:225::1,d8:58:d7:00:0f:72,d8:58:d7,53,17,6,0,0,10627,10659,32,2,320,10627,10627,0,1,100,10659,10659,0,1,220,100,160.0,84.8528137423857,220,100,100.0,0.0,100,220,220.0,0.0,220,32,32.0,0.0,32,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.Microsoft,Network,0,6,watson.microsoft.com,,,,
15,15,0,::,08:00:27:bd:f2:09,08:00:27,0,ff02::1:ff67:c2c1,33:33:ff:67:c2:c1,33:33:ff,0,58,6,0,0,7707,7707,0,2,156,7707,7707,0,2,156,0,0,0,0,0,78,78.0,0.0,78,78,78.0,0.0,78,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
16,16,0,fd2d:ab8c:225::7a6,08:00:27:bd:f2:09,08:00:27,0,ff02::1,33:33:00:00:00:01,33:33:00,0,58,6,0,0,10702,10702,0,1,86,10702,10702,0,1,86,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
17,17,0,fe80::da58:d7ff:fe00:f72,d8:58:d7:00:0f:72,d8:58:d7,0,ff02::1,33:33:00:00:00:01,33:33:00,0,58,6,0,0,8356,18838,10482,13,1118,8356,18838,10482,13,1118,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,19,873.5000000000001,1132.5865409439018,3781,19,873.5000000000001,1132.5865409439018,3781,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
18,18,0,192.168.1.135,08:00:27:bd:f2:09,08:00:27,49158,224.0.0.252,01:00:5e:00:00:fc,01:00:5e,5355,17,4,0,0,10727,10822,95,2,130,10727,10822,95,2,130,0,0,0,0,0,65,65.0,0.0,65,65,65.0,0.0,65,0,0.0,0.0,0,95,95.0,0.0,95,95,95.0,0.0,95,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLMNR,Network,0,6,win24,,,,
19,19,0,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,08:00:27:bd:f2:09,08:00:27,55417,fd2d:ab8c:225::1,d8:58:d7:00:0f:72,d8:58:d7,53,17,6,0,0,10744,10745,1,2,180,10744,10744,0,1,90,10745,10745,0,1,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,90,1,1.0,0.0,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,isatap.lan,,,,
20,20,0,::,08:00:27:bd:f2:09,08:00:27,0,ff02::1:ff9b:5a83,33:33:ff:9b:5a:83,33:33:ff,0,58,6,0,0,7708,7708,0,1,78,7708,7708,0,1,78,0,0,0,0,0,78,78.0,0.0,78,78,78.0,0.0,78,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
21,21,0,fe80::3415:2c17:d667:c2c1,08:00:27:bd:f2:09,08:00:27,0,ff02::c,33:33:00:00:00:0c,33:33:00,0,58,6,0,0,8385,19204,10819,3,258,8385,19204,10819,3,258,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,314,5409.5,7206.125207072106,10505,314,5409.5,7206.125207072106,10505,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
22,22,0,192.168.1.135,08:00:27:bd:f2:09,08:00:27,137,192.168.1.255,ff:ff:ff:ff:ff:ff,ff:ff:ff,137,17,4,0,0,10782,49007,38225,34,3560,10782,49007,38225,34,3560,0,0,0,0,0,92,104.70588235294116,8.324951221131847,110,92,104.70588235294116,8.324951221131847,110,0,0.0,0.0,0,0,1158.3333333333333,3377.3506505346268,16945,0,1158.3333333333333,3377.3506505346268,16945,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NetBIOS,System,0,6,win24,,,,
23,23,0,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,08:00:27:bd:f2:09,08:00:27,55450,fd2d:ab8c:225::1,d8:58:d7:00:0f:72,d8:58:d7,53,17,6,0,0,11388,11389,1,2,176,11388,11388,0,1,88,11389,11389,0,1,88,88,88.0,0.0,88,88,88.0,0.0,88,88,88.0,0.0,88,1,1.0,0.0,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,wpad.lan,,,,
24,24,0,192.168.1.135,08:00:27:bd:f2:09,08:00:27,52301,239.255.255.250,01:00:5e:7f:ff:fa,01:00:5e,3702,17,4,0,0,12602,12845,243,2,1332,12602,12845,243,2,1332,0,0,0,0,0,666,666.0,0.0,666,666,666.0,0.0,666,0,0.0,0.0,0,243,243.0,0.0,243,243,243.0,0.0,243,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WSD,Network,0,6,,,,,
25,25,0,fe80::5440:d617:fa87:1f07,08:00:27:e1:e3:8a,08:00:27,0,ff02::1:ff87:1f07,33:33:ff:87:1f:07,33:33:ff,0,58,6,0,0,21702,21702,0,1,86,21702,21702,0,1,86,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
26,26,0,fe80::3415:2c17:d667:c2c1,08:00:27:bd:f2:09,08:00:27,0,ff02::1:ff67:c2c1,33:33:ff:67:c2:c1,33:33:ff,0,58,6,0,0,7708,20205,12497,4,344,7708,20205,12497,4,344,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,500,4165.666666666667,5103.905008259199,9995,500,4165.666666666667,5103.905008259199,9995,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
27,27,0,fe80::3415:2c17:d667:c2c1,08:00:27:bd:f2:09,08:00:27,0,ff02::1:ff9b:5a83,33:33:ff:9b:5a:83,33:33:ff,0,58,6,0,0,7708,21708,14000,4,344,7708,21708,14000,4,344,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,500,4666.666666666667,3617.0890690351175,7000,500,4666.666666666667,3617.0890690351175,7000,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
28,28,0,fe80::da58:d7ff:fe00:f72,d8:58:d7:00:0f:72,d8:58:d7,547,fe80::3415:2c17:d667:c2c1,08:00:27:bd:f2:09,08:00:27,546,17,6,0,0,8350,9412,1062,3,561,8350,9412,1062,3,561,0,0,0,0,0,163,187.0,26.229754097208,215,163,187.0,26.229754097208,215,0,0.0,0.0,0,60,531.0,666.0945878777278,1002,60,531.0,666.0945878777278,1002,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DHCPV6,Network,0,6,,,,,
29,29,0,fe80::5440:d617:fa87:1f07,08:00:27:e1:e3:8a,08:00:27,0,ff02::1:ff00:2c6,33:33:ff:00:02:c6,33:33:ff,0,58,6,0,0,14703,19199,4496,2,172,14703,19199,4496,2,172,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,4496,4496.0,0.0,4496,4496,4496.0,0.0,4496,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
30,30,0,fe80::5440:d617:fa87:1f07,08:00:27:e1:e3:8a,08:00:27,0,ff02::1:ff98:fae8,33:33:ff:98:fa:e8,33:33:ff,0,58,6,0,0,13200,23695,10495,2,172,13200,23695,10495,2,172,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,10495,10495.0,0.0,10495,10495,10495.0,0.0,10495,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
31,31,0,fe80::3415:2c17:d667:c2c1,08:00:27:bd:f2:09,08:00:27,0,ff02::1:ff00:7a6,33:33:ff:00:07:a6,33:33:ff,0,58,6,0,0,144705,144705,0,1,86,144705,144705,0,1,86,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
32,32,0,0.0.0.0,d8:58:d7:00:0f:72,d8:58:d7,0,224.0.0.1,01:00:5e:00:00:01,01:00:5e,0,2,4,0,0,45126,45126,0,1,60,45126,45126,0,1,60,0,0,0,0,0,60,60.0,0.0,60,60,60.0,0.0,60,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IGMP,Network,0,6,,,,,
33,33,0,192.168.1.135,08:00:27:bd:f2:09,08:00:27,0,224.0.0.253,01:00:5e:00:00:fd,01:00:5e,0,2,4,0,0,16471,51200,34729,3,138,16471,51200,34729,3,138,0,0,0,0,0,46,46.0,0.0,46,46,46.0,0.0,46,0,0.0,0.0,0,230,17364.5,24231.8422844818,34499,230,17364.5,24231.8422844818,34499,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IGMP,Network,0,6,,,,,
34,34,0,192.168.1.135,08:00:27:bd:f2:09,08:00:27,0,224.0.0.252,01:00:5e:00:00:fc,01:00:5e,0,2,4,0,0,172705,172705,0,1,46,172705,172705,0,1,46,0,0,0,0,0,46,46.0,0.0,46,46,46.0,0.0,46,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IGMP,Network,0,6,,,,,
35,35,0,fe80::3415:2c17:d667:c2c1,08:00:27:bd:f2:09,08:00:27,0,ff02::1:ff00:7a6,33:33:ff:00:07:a6,33:33:ff,0,58,6,0,0,275703,275703,0,1,86,275703,275703,0,1,86,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
36,36,0,fe80::3415:2c17:d667:c2c1,08:00:27:bd:f2:09,08:00:27,0,ff02::c,33:33:00:00:00:0c,33:33:00,0,58,6,0,0,145706,145706,0,1,86,145706,145706,0,1,86,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
37,37,0,fe80::5440:d617:fa87:1f07,08:00:27:e1:e3:8a,08:00:27,0,ff02::1:ff00:2c6,33:33:ff:00:02:c6,33:33:ff,0,58,6,0,0,151699,151699,0,1,86,151699,151699,0,1,86,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
38,38,0,fe80::3415:2c17:d667:c2c1,08:00:27:bd:f2:09,08:00:27,0,ff02::1:3,33:33:00:01:00:03,33:33:00,0,58,6,0,0,8360,146207,137847,22,1892,8360,146207,137847,22,1892,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,7,6564.142857142857,25963.142683977443,119502,7,6564.142857142857,25963.142683977443,119502,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
39,39,0,fe80::3415:2c17:d667:c2c1,08:00:27:bd:f2:09,08:00:27,65270,ff02::1:3,33:33:00:01:00:03,33:33:00,5355,17,6,0,0,8362,8458,96,2,170,8362,8458,96,2,170,0,0,0,0,0,85,85.0,0.0,85,85,85.0,0.0,85,0,0.0,0.0,0,96,96.0,0.0,96,96,96.0,0.0,96,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLMNR,Network,0,6,win24,,,,
40,40,0,192.168.1.135,08:00:27:bd:f2:09,08:00:27,59360,224.0.0.252,01:00:5e:00:00:fc,01:00:5e,5355,17,4,0,0,8362,8459,97,2,130,8362,8459,97,2,130,0,0,0,0,0,65,65.0,0.0,65,65,65.0,0.0,65,0,0.0,0.0,0,97,97.0,0.0,97,97,97.0,0.0,97,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLMNR,Network,0,6,win24,,,,
41,41,0,fe80::5440:d617:fa87:1f07,08:00:27:e1:e3:8a,08:00:27,0,ff02::1:ff87:1f07,33:33:ff:87:1f:07,33:33:ff,0,58,6,0,0,147704,147704,0,1,86,147704,147704,0,1,86,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
42,42,0,fe80::3415:2c17:d667:c2c1,08:00:27:bd:f2:09,08:00:27,55124,ff02::1:3,33:33:00:01:00:03,33:33:00,5355,17,6,0,0,8593,8688,95,2,172,8593,8688,95,2,172,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,95,95.0,0.0,95,95,95.0,0.0,95,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLMNR,Network,0,6,isatap,,,,
43,43,0,fe80::3415:2c17:d667:c2c1,08:00:27:bd:f2:09,08:00:27,0,ff02::1:ff00:7a6,33:33:ff:00:07:a6,33:33:ff,0,58,6,0,0,403206,403206,0,1,86,403206,403206,0,1,86,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
44,44,0,192.168.1.135,08:00:27:bd:f2:09,08:00:27,0,239.255.255.250,01:00:5e:7f:ff:fa,01:00:5e,0,2,4,0,0,8386,172705,164319,4,184,8386,172705,164319,4,184,0,0,0,0,0,46,46.0,0.0,46,46,46.0,0.0,46,0,0.0,0.0,0,313,54773.0,60254.40814579461,119502,313,54773.0,60254.40814579461,119502,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IGMP,Network,0,6,,,,,
